mean_favorite_count,sum_favorite_count,mean_retweet_count,sum_retweet_count,mean_display_text_width,sum_display_text_width,n,code
1,5,0.2,1,114.6,573,5,SB
1.5,3,0.5,1,29.5,59,2,TS
0.7142857142857143,5,0.14285714285714285,1,102.14285714285714,715,7,SB
1.75,14,0.625,5,112.75,902,8,SB
0.6666666666666666,4,0.16666666666666666,1,119.83333333333333,719,6,SB
0.5,2,0,0,114,456,4,SB
1,6,0.16666666666666666,1,103.83333333333333,623,6,SB
1.4,7,0.4,2,115.8,579,5,SB
0.5,3,0,0,99.33333333333333,596,6,SB
2,4,1.5,3,107.5,215,2,SB
3.5,7,1.5,3,63.5,127,2,SB
4.5,9,2,4,113.5,227,2,SB
1,2,0,0,24.5,49,2,TS
4,8,3.5,7,104,208,2,SB
0.5,1,1,2,48,96,2,SB
1.8,9,0.4,2,128,640,5,SB
0.6666666666666666,2,0,0,113.33333333333333,340,3,SB
1.6666666666666667,5,0,0,110.33333333333333,331,3,SB
1.5,3,0,0,133.5,267,2,SB
2,4,1,2,131,262,2,SB
6.5,13,2,4,88,176,2,SB
8,16,2.5,5,137,274,2,SB
0,0,0,0,100.5,201,2,SB
0.5,1,0,0,75.5,151,2,TS
0.5,1,0,0,25,50,2,TS
1,2,0,0,60.5,121,2,TS
1.5,3,0.5,1,50.5,101,2,TS
0,0,0,0,47,94,2,TS
1.3333333333333333,4,0,0,121.66666666666667,365,3,SB
1,2,0.5,1,139,278,2,SB
1.5,3,0.5,1,137,274,2,SB
0.25,1,0,0,110.5,442,4,TS
0.5,1,0.5,1,77,154,2,TS
1.5714285714285714,11,0.14285714285714285,1,128.14285714285714,897,7,SB
1.6,8,0.2,1,122.4,612,5,SB
0.5,1,0,0,44.5,89,2,TS
1.75,7,0.25,1,137.75,551,4,SB
0,0,0,0,112,224,2,SB
0.4,2,0.4,2,125.8,629,5,SB
0,0,0,0,142.5,285,2,SB
5.5,11,2.5,5,138.5,277,2,SB
1,2,0,0,97,194,2,SB
3,6,1,2,100.5,201,2,SB
2,4,0.5,1,132.5,265,2,SB
2.3333333333333335,7,0.6666666666666666,2,79.33333333333333,238,3,TS
3.5,7,1,2,88,176,2,TS
0.5,1,0,0,33.5,67,2,TS
3,6,0.5,1,72,144,2,SB
1.6666666666666667,5,0.6666666666666666,2,117,351,3,TS
4,8,2.5,5,108,216,2,SB
0.5,1,0,0,69.5,139,2,SB
4.5,9,1.5,3,116,232,2,SB
0,0,0.5,1,63.5,127,2,SB
0,0,0,0,70.5,141,2,TS
1.5,3,1.5,3,98.5,197,2,SB
3.5,7,2.5,5,129.5,259,2,SB
1,2,1.5,3,110,220,2,SB
0,0,0,0,46,92,2,TS
1,2,1,2,124,248,2,SB
0.5,1,1,2,119.5,239,2,SB
2.5,10,0.5,2,113,452,4,SB
4,12,1,3,112,336,3,SB
1.5,6,0,0,77.75,311,4,SB
1,6,0,0,74.33333333333333,446,6,SB
1.1666666666666667,7,0,0,74.66666666666667,448,6,SB
1,4,0,0,87.75,351,4,SB
1.1666666666666667,7,0,0,65,390,6,SB
2,6,1.3333333333333333,4,85,255,3,SB
0.5,1,0,0,48.5,97,2,TS
0,0,0,0,113,113,1,SB
1,4,0.5,2,96.75,387,4,TS
36,36,52,52,109,109,1,TS
2,4,1,2,84,168,2,SB
0.5,1,0,0,90.5,181,2,TS
2,2,0,0,70,70,1,TS
1,2,0,0,74,148,2,TS
0.6666666666666666,2,0,0,133.66666666666666,401,3,SB
3,6,0.5,1,115,230,2,SB
0,0,0,0,71,71,1,TS
0.25,1,0,0,30.75,123,4,TS
2.6666666666666665,8,0,0,133,399,3,SB
3.5,7,1,2,112.5,225,2,SB
6.5,26,5.25,21,82.5,330,4,SB
