student_id,course_id,gender,enrollment_reason,enrollment_status,final_grade,subject,semester,section,int,uv,percomp,tv,sum_discussion_posts,sum_n_words,overall_percent_earned,variability_percent_earned,n_with_100_pct
96994,AnPhA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,86.8074672,AnPhA,S216,01,5,5,4.5,5,NA,NA,0.9529411764705882,0.0770405080813195,12
74552,AnPhA-S216-02,F,Other,Approved/Enrolled,96.16,AnPhA,S216,02,4,4.333333333333333,3.5,4.142857142857143,NA,NA,0.9911764705882353,0.03185286431065398,16
88979,AnPhA-S216-02,F,Scheduling Conflict,Dropped,NA,AnPhA,S216,02,5,5,5,5,NA,NA,0.46176470588235297,0.17285808257143734,7
91164,AnPhA-S216-02,F,Course Unavailable at Local School,Approved/Enrolled,90.0016,AnPhA,S216,02,5,5,4.5,5,NA,NA,0.8868235294117647,0.04764584138986062,12
94219,AnPhA-S216-02,F,Learning Preference of the Student,Dropped,NA,AnPhA,S216,02,4.6,4.333333333333333,3.5,4.428571428571429,NA,NA,0.14529411764705882,0.33015257930778424,2
94542,AnPhA-S216-02,F,Other,Approved/Enrolled,33.28,AnPhA,S216,02,4.8,4.333333333333333,3.5,4.571428571428571,NA,NA,0.8911764705882353,0.07334928056269079,16
94550,AnPhA-S216-02,F,Other,Approved/Enrolled,85.3408,AnPhA,S216,02,5,5,4,5,NA,NA,0.9522352941176471,0.09486295238422594,12
94898,AnPhA-S216-02,F,Other,Approved/Enrolled,73.6608,AnPhA,S216,02,5,5,4.5,5,NA,NA,0.9279411764705883,0.09712055234987943,11
94903,AnPhA-S216-02,F,Course Unavailable at Local School,Approved/Enrolled,69.8808,AnPhA,S216,02,4.4,4.333333333333333,3.5,4.285714285714286,NA,NA,0.7227941176470588,0.17138422620805005,9
95017,AnPhA-S216-02,F,Other,Approved/Enrolled,71.52,AnPhA,S216,02,5,3.6666666666666665,4,4.428571428571429,NA,NA,0.9941176470588236,0.023195079131281975,18
95041,AnPhA-S216-02,F,Other,Approved/Enrolled,14.5408,AnPhA,S216,02,5,5,3.5,5,NA,NA,0.4669411764705882,0.19944676316718826,8
95264,AnPhA-S216-02,M,Learning Preference of the Student,Dropped,NA,AnPhA,S216,02,3.8,3.6666666666666665,2.5,3.7142857142857144,NA,NA,0.20588235294117646,0.2721655269759087,5
95377,AnPhA-S216-02,F,Learning Preference of the Student,Approved/Enrolled,76.6304,AnPhA,S216,02,5,5,5,5,NA,NA,0.7168823529411765,0.14148702439504668,8
95919,AnPhA-S216-02,M,Course Unavailable at Local School,Approved/Enrolled,86.534932800000007,AnPhA,S216,02,5,5,4,5,NA,NA,0.9,0.13876017427530235,12
96826,AnPhA-S216-02,F,Learning Preference of the Student,Approved/Enrolled,88.408,AnPhA,S216,02,4,4,3.5,4,NA,NA,0.9134117647058824,0.10039083247259145,8
96871,AnPhA-S216-02,F,Other,Approved/Enrolled,81.1482656,AnPhA,S216,02,4.6,4,4,4.285714285714286,NA,NA,0.8485294117647059,0.11032816551918154,8
66508,AnPhA-T116-01,F,Scheduling Conflict,Dropped,NA,AnPhA,T116,01,4,3.6666666666666665,3.5,3.857142857142857,NA,NA,0,NA,0
76132,AnPhA-T116-01,F,Other,Approved/Enrolled,95.3392,AnPhA,T116,01,5,5,5,5,NA,NA,0.9764705882352941,0.04140735636330496,15
79859,AnPhA-T116-01,F,Course Unavailable at Local School,Approved/Enrolled,72.992,AnPhA,T116,01,5,4.666666666666667,4.5,4.857142857142857,NA,NA,0.7654705882352941,0.12241107950126642,12
84640,AnPhA-T116-01,F,Course Unavailable at Local School,Approved/Enrolled,86.1648,AnPhA,T116,01,5,5,4,5,NA,NA,0.9014705882352941,0.11000593662440442,13
84641,AnPhA-T116-01,F,Course Unavailable at Local School,Approved/Enrolled,83.5525328,AnPhA,T116,01,4,4,3,4,NA,NA,0.9352941176470588,0.1008316651881674,12
84749,AnPhA-T116-01,F,Course Unavailable at Local School,Approved/Enrolled,82.552,AnPhA,T116,01,5,4,4,4.571428571428571,NA,NA,0.9264705882352942,0.14047474352510816,11
87865,AnPhA-T116-01,F,Scheduling Conflict,Approved/Enrolled,83.1264,AnPhA,T116,01,3.8,4.666666666666667,3.5,4.142857142857143,NA,NA,0.886235294117647,0.19395791730220896,10
