student_id,course_id,gender,enrollment_reason,enrollment_status,final_grade,time_spent,subject,semester,section,int,uv,percomp,percentage_earned,sum_discussion_posts,sum_n_words
89005,AnPhA-T116-01,M,Course Unavailable at Local School,Approved/Enrolled,87.6208,2429.3997,AnPhA,T116,01,5,5,3.5,0.9529411764705882,NA,NA
90516,AnPhA-T116-01,F,Learning Preference of the Student,Approved/Enrolled,73.8816,250.4331,AnPhA,T116,01,4.6,4,3.5,0.8625294117647059,NA,NA
61965,BioA-S116-01,M,Learning Preference of the Student,Approved/Enrolled,77.65698925,615.2168,BioA,S116,01,3.6,4,3,0.7302857142857143,6,136
68598,BioA-S116-01,F,Learning Preference of the Student,Approved/Enrolled,87.24408602,3331.6169,BioA,S116,01,4.2,3.3333333333333335,4,0.8707142857142857,6,480
69937,BioA-S116-01,F,Learning Preference of the Student,Withdrawn,NA,1.2168,BioA,S116,01,NA,3.6666666666666665,2,0,NA,NA
70408,BioA-S116-01,F,Learning Preference of the Student,Approved/Enrolled,91.50537634,6664.4499,BioA,S116,01,3.4,2.6666666666666665,2.5,0.9071428571428571,13,871
70681,BioA-S116-01,F,Learning Preference of the Student,Approved/Enrolled,90.23655914,2602.2333,BioA,S116,01,4.8,4.333333333333333,3.5,0.9177142857142857,12,563
71434,BioA-S116-01,M,Scheduling Conflict,Approved/Enrolled,83.96021505,1006.3337,BioA,S116,01,3.6,2.6666666666666665,3,0.8280857142857142,6,409
77169,BioA-S116-01,M,Scheduling Conflict,Approved/Enrolled,93.8172043,735.0999,BioA,S116,01,4,3.3333333333333335,3,0.9685714285714285,6,792
85292,BioA-S116-01,M,Scheduling Conflict,Approved/Enrolled,93.34946237,264.2002,BioA,S116,01,2.4,3,3,0.9393571428571428,8,620
85889,BioA-S116-01,M,Learning Preference of the Student,Approved/Enrolled,7.580645161,297.5167,BioA,S116,01,3.6,3.6666666666666665,4.5,0.2642857142857143,NA,NA
86067,BioA-S116-01,F,Learning Preference of the Student,Approved/Enrolled,88.78494624,516.7003,BioA,S116,01,3.6,2.6666666666666665,3,0.9330714285714286,9,543
86110,BioA-S116-01,M,Learning Preference of the Student,Approved/Enrolled,75.11182796,3954.2997,BioA,S116,01,3.8,3,3,0.7125714285714286,6,150
86113,BioA-S116-01,F,Other,Approved/Enrolled,75.0827957,63.6837,BioA,S116,01,3.8,3,4,0.7866285714285715,10,240
86130,BioA-S116-01,F,Other,Approved/Enrolled,72.84946237,142.7337,BioA,S116,01,3.8,3.6666666666666665,3,0.6271428571428571,6,436
86202,BioA-S116-01,M,Credit Recovery,Approved/Enrolled,45.76666667,1391.0673,BioA,S116,01,3,3,3,0.5510714285714285,5,108
86216,BioA-S116-01,M,Scheduling Conflict,Approved/Enrolled,92.94301075,1855.9338,BioA,S116,01,3.8,3.3333333333333335,3.5,0.8985714285714286,8,622
86580,BioA-S116-01,F,Learning Preference of the Student,Approved/Enrolled,83.16666667,1076.5339,BioA,S116,01,3.8,3.3333333333333335,2.5,0.7972857142857143,6,382
87081,BioA-S116-01,M,Other,Approved/Enrolled,6.693548387,181.5999,BioA,S116,01,4,4,4,0.2667857142857143,3,64
87552,BioA-S116-01,F,Scheduling Conflict,Approved/Enrolled,90.08064516,1496.8001,BioA,S116,01,4,4.666666666666667,NA,0.9382142857142857,6,360
88568,BioA-S116-01,M,Other,Approved/Enrolled,36.57419355,1329.3997,BioA,S116,01,3,3,3.5,0.4471428571428571,3,28
89300,BioA-S116-01,M,Scheduling Conflict,Approved/Enrolled,61.3172043,1132.1503,BioA,S116,01,3.4,3.6666666666666665,3,0.5589285714285714,1,1
90253,BioA-S116-01,F,Other,Approved/Enrolled,64.23548387,1803.8334,BioA,S116,01,NA,3.3333333333333335,3.5,0.7882142857142858,4,134
90430,BioA-S116-01,F,Credit Recovery,Approved/Enrolled,78.86666667,2252.5,BioA,S116,01,4,3.3333333333333335,3,0.7455714285714286,5,363
90466,BioA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,82.33333333,658.4165,BioA,S116,01,5,5,5,0.8205714285714285,5,131
91066,BioA-S116-01,F,Other,Approved/Enrolled,36.34408602,222.9831,BioA,S116,01,3.8,3.6666666666666665,4,0.3028571428571429,3,84
91067,BioA-S116-01,F,Other,Approved/Enrolled,99.75806452,2920.9838,BioA,S116,01,4.2,3.3333333333333335,4,0.9964285714285714,6,473
91300,BioA-S116-01,F,Scheduling Conflict,Approved/Enrolled,96.26344086,1311.9998,BioA,S116,01,4.2,3.6666666666666665,3.5,0.9521428571428572,9,680
91351,BioA-S116-01,F,Other,Approved/Enrolled,6.747311828,206.2335,BioA,S116,01,3.8,4,4,0.2689285714285714,3,73
91611,BioA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,92.90322581,616.3672,BioA,S116,01,4,3,3,0.9292857142857143,6,418
91624,BioA-S116-01,M,Course Unavailable at Local School,Approved/Enrolled,78.54946237,583.1167,BioA,S116,01,5,3.6666666666666665,4,0.8592857142857143,8,313
92152,BioA-S116-01,F,Other,Approved/Enrolled,93.48064516,3214.3998,BioA,S116,01,3.4,4,2.5,0.9032,9,434
92510,BioA-S116-01,M,Other,Approved/Enrolled,91.90860215,295.5494,BioA,S116,01,5,5,5,0.9732142857142857,9,594
92606,BioA-S116-01,M,Learning Preference of the Student,Approved/Enrolled,5.698924731,10.1498,BioA,S116,01,3.2,3,2.5,0.22714285714285715,1,35
92633,BioA-S116-01,M,Learning Preference of the Student,Approved/Enrolled,3.010752688,571.2834,BioA,S116,01,4,4,4,0.12,NA,NA
95658,BioA-S216-01,F,Scheduling Conflict,Approved/Enrolled,82.29946524,644.2667,BioA,S216,01,3.6,3.3333333333333335,3,0.8435714285714285,NA,NA
95707,BioA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,88.57754011,4034.7502,BioA,S216,01,3.2,2.6666666666666665,2,0.9305714285714285,NA,NA
